a1,b1,c10,c11,cv1,a2,b2,c20,c21,cv2,eta,rho,sig_I,sig_C,sigma_RE,g1,g2,ll
3.399885549673801,1.2580581990796524,0.31319218977753205,-3.951121887660786e-4,0.48310764594844025,2.1878980072778353,2.1016532054936414,-0.01987517736888994,-9.768517061121474e-4,0.05072246784287646,1.7361323421510284,0.9192905895226511,0.11699613313803876,0.14836848089697594,0.4541733171480567,0.3067859501013713,0.7728319436324861,-9013.36858425887
3.2989576150607185,1.0618766692381256,0.27535114604615696,-6.335204459986365e-5,0.48306329994444963,2.0090981099373737,1.943777213964053,-0.05552745631947359,-6.841704111746666e-4,0.051562122794076216,1.799448009594089,0.8476017328866274,0.11025946285739284,0.15649180137230112,0.5077758596477107,0.24368304176600553,0.5481984656140184,-9004.600762462342
3.7369475087234085,1.1296735988815418,0.19133828022977611,8.838292739259624e-5,0.4725620082532741,1.9457297548808004,2.050888167421846,-0.22013904624198505,-4.225291706734702e-4,0.05218118332675708,1.5568677259641057,0.8714054949876124,0.12019352490328176,0.16216465803217406,0.513245800781502,0.16704688435722143,0.43760661628290193,-8999.539317992887
2.9008520845649652,1.1515859929321806,0.2997292201820814,-2.3988516966560737e-4,0.47647447474316157,1.8818095266019155,2.086757608994686,-0.1533724952633892,-7.794269171654944e-4,0.052874780226591644,1.972562063136603,0.8763219352234274,0.11225387321587761,0.15785708939229492,0.6909135938087112,0.3040027880061572,0.6832216203552769,-8982.10020767998
4.27330816005597,1.0966428293399888,0.29839573438100375,-1.7378105765087138e-4,0.4908579323112241,2.2023557701513106,1.942449263489392,-0.15294488040868004,-6.080755455282505e-4,0.052860457653794414,1.422803273549192,0.8759564647222576,0.11307755275881828,0.14639809076373603,0.577690054322276,0.30776833924912333,0.48334224539659226,-9026.842312903862
2.4663209018397594,1.1768492588069963,0.3636892727523421,-3.1697856364629076e-4,0.48263401020605484,2.6583157733232823,1.926632890034847,-0.04081402073310125,-6.902830626950086e-4,0.052212079508646224,2.6482336299755898,0.9496893613332337,0.13268844691506046,0.16104484105855563,0.5277094806891361,0.186752103549012,0.646749818403475,-9025.30122799297
4.347922419136288,1.0554008462060789,0.34205236150259444,-5.069738332150631e-5,0.4892497503515368,2.222551396766363,1.9082011158522805,-0.19390581490560727,-3.2981176686487147e-4,0.054191627342789706,1.4407497276267272,0.9384225374802078,0.12836464765683353,0.16509685330252802,0.5976049877755925,0.18005278225401494,0.8902369645792438,-9008.507970763998
3.48697796881907,1.217262917822664,0.29494149461041635,-3.1998387435497154e-4,0.48167640570113335,2.266484562534541,2.051644122744676,-0.01238726251306782,-9.125541362009998e-4,0.05006997944126097,1.7382156096633579,0.8910451526270173,0.12571343876896093,0.1733112869414238,0.6906855565576288,0.17333228033948078,0.424188931863369,-8949.468052459093
2.6071690755321635,1.0880016742482834,0.20004859188116125,-1.718394556714076e-5,0.4844706294803849,1.8030563829407231,2.0514218115757203,-0.22263587653625716,-5.886108507342641e-4,0.05139661712718542,2.2082239982059817,0.9067301454700352,0.1239842427532761,0.17410377806592012,0.6441804230160049,0.07047313672916306,0.6564499141706944,-9044.058494195046
3.1653323773891837,1.0826180992248666,0.37847686315635815,-3.666002311076255e-4,0.4880999508025481,2.191922332586115,1.9310147114235852,-0.0522568059331433,-8.686890739228914e-4,0.053980511982318756,1.9637993878605187,0.9338449907392461,0.1297986763431192,0.17359643158409824,0.377741936616068,0.09267584804420176,1.0144067298763733,-8970.702232875585
3.5137521572703743,1.2090136616581746,0.2818028796401516,-1.1360595171592381e-4,0.49551062303633114,2.0965497749631172,2.0797072880069485,-0.18666057719751888,-5.160921555845483e-4,0.05511634100919088,1.6767155774225713,0.8656796173257898,0.0912634632767356,0.1247163365374179,0.758547129333406,0.3254148757302555,0.9936020494849827,-9024.262349774868
2.4857361406350895,1.1586955534950625,0.24528820217457054,-9.708630078226089e-5,0.4743897273200321,2.034996970689606,2.0478365816366138,-0.1488933588073197,-6.587455795326769e-4,0.053520551478640474,2.3722965402407366,0.9553417878697571,0.1445369725986985,0.17574425098122873,0.464770044253193,0.16712794594484792,0.9408428414286607,-9014.330871241784
3.415377028279302,1.234388061934908,0.234601568289378,-2.642086337540539e-4,0.4981308133221381,2.1418720863968823,2.0942757381186343,-0.15121975552538003,-7.678861750654315e-4,0.05302238450613476,1.7444870821429008,0.912617438361389,0.11509571965950273,0.14611903369635645,0.5403101898628867,0.20428285461275697,0.8402898877919805,-9025.05002891964
2.9750816319188194,1.126041369540362,0.4027234354108427,-3.2677228864149755e-4,0.4863130412039166,2.30828473365214,1.938747542842426,-0.0393876639795574,-6.470711956223407e-4,0.05001255698937877,2.109517975097915,0.9490900504270487,0.14581762753233987,0.1915943791722983,0.47436360184943394,0.11748554853904225,0.6585734442159131,-8993.527737779472
